patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Trọng Thế Mai,607579713806,18/07/1945,0902102225,janedang@example.net,"338 Hà Mai Bảo Hoàng, 895667",Huyết áp cao,6.48,Quý cô Thành Vũ,21/01/2026
1a2a73ed-562b-4f79-8374-59eef50bea63,Quý ông Vũ Vũ,176268070804,25/07/1961,0992612919,john73@example.org,"849 Cô Mai Bùi
Cô Mai Bùi, 183667",Tiểu đường,6.75,Cô Hồng Vũ,01/03/2026
5ec42e08-29a3-42e9-9d65-a441d58842de,Mai Nguyễn,289437033037,29/10/1979,0924946876,john09@example.com,"5 Anh Tùng VũJaneHuyện, 169403",Tiểu đường,3.86,Bà Mai Dương,21/02/2026
24933b83-7577-40a9-a491-f0b2ea1fca65,Dũng Đặng,272856782208,29/09/1989,0931801264,dangjohn@example.net,"7 Anh Châu Mai, 166613",Tiểu đường,7.24,Kim Mai Mai,02/02/2026
02f06b90-f143-462f-9c5c-0eed8da0365b,Ông Hưng Vũ,269484082620,05/03/1990,0974924719,john32@example.net,"2 Chị Mai Đặng, 916449",Khỏe mạnh,7.27,Duyên Đặng,06/03/2026
e0f3eab0-5cec-4eb5-add9-68311ca35cfb,Nhiên Tấn Bùi,153130818828,10/12/1952,0963278696,john03@example.net,"Châu Hữu Hoàng
89 Châu Hữu Hoàng, 847581",Tiểu đường,5.32,Thành Đặng,27/02/2026
3f76be1d-1efa-4197-b394-988f847fd9b4,Thảo Mai,313749499545,22/04/1978,0950051151,tranjohn@example.com,"105 Quang Nguyễn, 238739",Tiểu đường,7.08,Anh Châu Bùi,25/01/2026
5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,Cô Khoa Nguyễn,220414397447,07/07/1984,0997901778,john20@example.com,"338 Nam Hữu Hoàng
Nam Hữu Hoàng, 179046",Khỏe mạnh,11.91,Ông Hưng Mai,20/04/2026
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Thành Đức Đặng,244732246848,01/07/1970,0918703537,nguyenjane@example.net,"74 Anh Tùng Hoàng
Anh Tùng Hoàng, 161324",Tiểu đường,8.54,Yến Đặng,08/01/2026
eb5cf467-80ba-4d64-ba0e-cfea958ca9ba,Mai Trần,422465756587,05/07/1997,0978066413,janetran@example.org,"939 Cô An Mai, 802258",Huyết áp cao,9.96,Quang Đức Bùi,18/01/2026
50f0fd0a-750c-4b75-8ccc-9bc2a53f8a28,Quý cô Nhật Vũ,048947976307,14/09/1980,0990600057,dnguyen@example.com,"354 Hạnh Đức Nguyễn
Hạnh Đức Nguyễn, 377312",Tiểu đường,8.97,Hà Mai,21/01/2026
b7b56ea7-35eb-432d-9ad6-20ab48212ddb,Hải Bảo Lê,057700160457,09/01/1971,0973184163,lvu@example.org,"427 Quý ông Huy Đặng
Quý ông Huy Đặng, 137778",Tiểu đường,8.01,Nhiên Trí Bùi,17/01/2026
eededb07-e623-4689-9d59-cd2a4eea04e7,Quý ông Bảo Nguyễn,974166825165,11/09/1950,0992463485,lejane@example.com,"2 Quý cô Khoa Nguyễn, 872343",Khỏe mạnh,9.49,Huy Hải Vũ,21/01/2026
df465290-61ee-411a-9bac-27a7b386f7a4,Nhật Hoàng Đặng,202215843837,06/08/1951,0969228465,johnmai@example.org,"54 Xuân Bùi, 220944",Khỏe mạnh,6.11,Phúc Hoàng,07/05/2026
98b8e4cc-1bc0-44fc-89cb-394243f59a85,Trung Dương,439442358615,12/08/1979,0922376329,ctran@example.net,"883 Chị Khoa Lê, 989208",Tiểu đường,8.75,Nhật Vũ,08/03/2026
6703b636-5380-4904-a88c-7015aab97e49,Ông Khoa Bùi,026037342776,13/05/1949,0936242833,jane18@example.net,"43 Dương Trần
Dương Trần, 808446",Huyết áp cao,5.83,Quý cô Vi Lê,28/03/2026
a2086977-a9f2-4336-83f4-a9a948a639d0,Phúc Dương,348285712648,04/10/1951,0935272420,tranjohn@example.net,"1 Duyên Đặng, 355836",Khỏe mạnh,7.29,Cô Hà Bùi,29/01/2026
8498e113-b227-462c-b53d-4330cdda24ba,Quý ông Tùng Mai,106386831117,03/05/2002,0932222168,bvu@example.org,"98 Minh Hoàng
Minh Hoàng, 888295",Tiểu đường,11.81,Bà Vi Mai,05/03/2026
